1	0
0.999992	0.00314158
0.999974	0.00628312
0.999946	0.00942456
0.999908	0.0125659
0.99986	0.0157071
0.999803	0.0188481
0.999735	0.0219889
0.999658	0.0251295
0.999571	0.0282698
0.999474	0.0314098
0.999367	0.0345495
0.99925	0.0376888
0.999123	0.0408277
0.998987	0.0439662
0.998841	0.0471042
0.998684	0.0502418
0.998518	0.0533788
0.998342	0.0565153
0.998157	0.0596512
0.997961	0.0627865
0.997755	0.0659212
0.99754	0.0690552
0.997315	0.0721885
0.99708	0.075321
0.996835	0.0784528
0.99658	0.0815838
0.996316	0.084714
0.996042	0.0878433
0.995757	0.0909717
0.995463	0.0940992
0.995159	0.0972258
0.994846	0.100351
0.994522	0.103476
0.994189	0.106599
0.993846	0.109722
0.993493	0.112843
0.99313	0.115963
0.992758	0.119082
0.992375	0.1222
0.991983	0.125317
0.991581	0.128432
0.99117	0.131546
0.990748	0.134659
0.990317	0.137771
0.989876	0.140881
0.989425	0.143989
0.988964	0.147096
0.988494	0.150202
0.988014	0.153306
0.987524	0.156409
0.987024	0.15951
0.986515	0.162609
0.985996	0.165707
0.985467	0.168804
0.984928	0.171898
0.98438	0.174991
0.983822	0.178082
0.983254	0.181171
0.982677	0.184259
0.98209	0.187344
0.981493	0.190428
0.980887	0.19351
0.98027	0.19659
0.979645	0.199668
0.979009	0.202744
0.978364	0.205818
0.977709	0.20889
0.977045	0.21196
0.97637	0.215027
0.975687	0.218093
0.974993	0.221156
0.97429	0.224217
0.973577	0.227276
0.972855	0.230333
0.972123	0.233387
0.971382	0.23644
0.970631	0.239489
0.96987	0.242537
0.9691	0.245581
0.96832	0.248624
0.967531	0.251664
0.966732	0.254701
0.965923	0.257736
0.965105	0.260769
0.964278	0.263798
0.963441	0.266826
0.962594	0.26985
0.961738	0.272872
0.960873	0.275891
0.959998	0.278907
0.959113	0.281921
0.958219	0.284932
0.957316	0.28794
0.956403	0.290945
0.955481	0.293947
0.954549	0.296946
0.953608	0.299943
0.952657	0.302936
0.951697	0.305926
0.950728	0.308913
0.949749	0.311898
0.948761	0.314879
0.947763	0.317857
0.946756	0.320831
0.94574	0.323803
0.944715	0.326771
0.94368	0.329737
0.942636	0.332698
0.941582	0.335657
0.940519	0.338612
0.939447	0.341564
0.938366	0.344513
0.937275	0.347458
0.936175	0.350399
0.935066	0.353337
0.933948	0.356272
0.93282	0.359203
0.931683	0.36213
0.930537	0.365054
0.929382	0.367975
0.928218	0.370891
0.927044	0.373804
0.925861	0.376713
0.92467	0.379619
0.923469	0.382521
0.922259	0.385418
0.921039	0.388313
0.919811	0.391203
0.918574	0.394089
0.917327	0.396971
0.916072	0.39985
0.914807	0.402724
0.913534	0.405595
0.912251	0.408461
0.91096	0.411324
0.909659	0.414182
0.908349	0.417036
0.907031	0.419886
0.905703	0.422732
0.904367	0.425574
0.903021	0.428412
0.901667	0.431245
0.900304	0.434074
0.898932	0.436898
0.897551	0.439719
0.896161	0.442535
0.894762	0.445346
0.893355	0.448153
0.891939	0.450956
0.890513	0.453754
0.889079	0.456548
0.887637	0.459337
0.886185	0.462122
0.884725	0.464902
0.883256	0.467677
0.881778	0.470448
0.880292	0.473214
0.878797	0.475975
0.877293	0.478732
0.875781	0.481484
0.87426	0.484231
0.87273	0.486973
0.871192	0.489711
0.869645	0.492444
0.868089	0.495171
0.866525	0.497894
0.864952	0.500612
0.863371	0.503325
0.861781	0.506033
0.860183	0.508736
0.858576	0.511434
0.856961	0.514127
0.855337	0.516814
0.853705	0.519497
0.852065	0.522174
0.850416	0.524847
0.848758	0.527514
0.847093	0.530175
0.845419	0.532832
0.843736	0.535483
0.842045	0.538129
0.840346	0.54077
0.838639	0.543405
0.836923	0.546035
0.835199	0.548659
0.833467	0.551278
0.831726	0.553892
0.829978	0.5565
0.828221	0.559102
0.826456	0.561699
0.824683	0.56429
0.822901	0.566876
0.821112	0.569456
0.819314	0.572031
0.817508	0.574599
0.815695	0.577163
0.813873	0.57972
0.812043	0.582272
0.810205	0.584817
0.808359	0.587358
0.806505	0.589892
0.804644	0.59242
0.802774	0.594943
0.800896	0.597459
0.79901	0.59997
0.797117	0.602475
0.795215	0.604973
0.793306	0.607466
0.791389	0.609953
0.789464	0.612433
0.787532	0.614908
0.785591	0.617376
0.783643	0.619839
0.781687	0.622295
0.779723	0.624745
0.777752	0.627189
0.775773	0.629627
0.773786	0.632058
0.771792	0.634483
0.76979	0.636902
0.76778	0.639314
0.765763	0.64172
0.763738	0.64412
0.761706	0.646514
0.759666	0.648901
0.757618	0.651281
0.755564	0.653655
0.753501	0.656023
0.751432	0.658384
0.749354	0.660738
0.74727	0.663086
0.745178	0.665428
0.743079	0.667762
0.740972	0.670091
0.738858	0.672412
0.736737	0.674727
0.734608	0.677035
0.732472	0.679337
0.730329	0.681631
0.728179	0.683919
0.726022	0.686201
0.723857	0.688475
0.721685	0.690742
0.719506	0.693003
0.71732	0.695257
0.715127	0.697504
0.712927	0.699744
0.71072	0.701977
0.708505	0.704203
0.706284	0.706422
0.704056	0.708634
0.701821	0.710839
0.699579	0.713037
0.69733	0.715228
0.695074	0.717412
0.692811	0.719588
0.690541	0.721758
0.688265	0.72392
0.685982	0.726076
0.683692	0.728224
0.681395	0.730364
0.679091	0.732498
0.676781	0.734624
0.674464	0.736743
0.672141	0.738855
0.66981	0.740959
0.667474	0.743056
0.66513	0.745146
0.66278	0.747228
0.660424	0.749303
0.658061	0.75137
0.655691	0.75343
0.653315	0.755482
0.650932	0.757527
0.648543	0.759565
0.646148	0.761595
0.643746	0.763617
0.641338	0.765632
0.638924	0.767639
0.636503	0.769638
0.634076	0.77163
0.631643	0.773615
0.629203	0.775591
0.626757	0.77756
0.624305	0.779521
0.621847	0.781475
0.619383	0.78342
0.616913	0.785358
0.614436	0.787288
0.611953	0.78921
0.609465	0.791125
0.60697	0.793031
0.60447	0.79493
0.601963	0.796821
0.59945	0.798704
0.596932	0.800579
0.594408	0.802446
0.591877	0.804305
0.589341	0.806156
0.586799	0.807999
0.584252	0.809834
0.581698	0.811661
0.579139	0.81348
0.576574	0.815291
0.574003	0.817094
0.571427	0.818889
0.568845	0.820675
